
2024/11/10 (19:04:14) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/10 (19:04:14) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/10 (19:04:14) | DEBUG: Shared::init() : Initialized.
2024/11/10 (19:04:14) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/20 (22:49:34) | ===> btop++ v.1.4.0
2024/11/20 (22:49:34) | INFO: Logger set to DEBUG
2024/11/20 (22:49:34) | DEBUG: Using locale es_MX.UTF-8
2024/11/20 (22:49:34) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2024/11/20 (22:49:34) | INFO: Quitting! Runtime: 00:00:00

2024/11/20 (22:49:40) | ===> btop++ v.1.4.0
2024/11/20 (22:49:40) | INFO: Logger set to DEBUG
2024/11/20 (22:49:40) | DEBUG: Using locale es_MX.UTF-8
2024/11/20 (22:49:40) | INFO: Running on /dev/pts/1
2024/11/20 (22:49:40) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/20 (22:49:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/20 (22:49:40) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/20 (22:49:40) | DEBUG: Shared::init() : Initialized.
2024/11/20 (22:49:40) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/21 (18:31:26) | ===> btop++ v.1.4.0
2024/11/21 (18:31:26) | INFO: Logger set to DEBUG
2024/11/21 (18:31:26) | DEBUG: Using locale es_MX.UTF-8
2024/11/21 (18:31:26) | INFO: Running on /dev/pts/0
2024/11/21 (18:31:27) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/21 (18:31:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/21 (18:31:27) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/21 (18:31:27) | DEBUG: Shared::init() : Initialized.
2024/11/21 (18:31:27) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (00:22:26) | ===> btop++ v.1.4.0
2024/11/23 (00:22:26) | INFO: Logger set to DEBUG
2024/11/23 (00:22:26) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (00:22:26) | INFO: Running on /dev/pts/0
2024/11/23 (00:22:26) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (00:22:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (00:22:26) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (00:22:26) | DEBUG: Shared::init() : Initialized.
2024/11/23 (00:22:26) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (00:22:41) | ===> btop++ v.1.4.0
2024/11/23 (00:22:41) | INFO: Logger set to DEBUG
2024/11/23 (00:22:41) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (00:22:41) | INFO: Running on /dev/pts/0
2024/11/23 (00:22:41) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (00:22:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (00:22:41) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (00:22:41) | DEBUG: Shared::init() : Initialized.
2024/11/23 (00:22:41) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (10:16:13) | ===> btop++ v.1.4.0
2024/11/23 (10:16:13) | INFO: Logger set to DEBUG
2024/11/23 (10:16:13) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (10:16:13) | INFO: Running on /dev/pts/0
2024/11/23 (10:16:13) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
2024/11/23 (10:16:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: no se puede abrir el fichero del objeto compartido: No existe el fichero o el directorio
2024/11/23 (10:16:13) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/11/23 (10:16:13) | DEBUG: Shared::init() : Initialized.
2024/11/23 (10:16:13) | DEBUG: Loading theme file: /home/ruben/.config/btop/themes/catppuccin_mocha.theme

2024/11/23 (10:50:28) | ===> btop++ v.1.4.0
2024/11/23 (10:50:28) | INFO: Logger set to DEBUG
2024/11/23 (10:50:28) | DEBUG: Using locale es_MX.UTF-8
2024/11/23 (10:50:28) | INFO: Running on /dev/pts/1
2024/11/23 (10:50:28) | DEBUG: Failed to initialize NVML, NVIDIA GPUs will not be detected: Driver Not Loaded
